gene_id	R1	R2	R3	R4	R5	R6	R7	R8	R9
ENSG00000223972	0	0	0	0	2	0	4	4	0
ENSG00000227232	728	800	1008	1210	972	0	571	683	601
ENSG00000278267	29	18	17	30	33	0	9	3	8
ENSG00000284332	0	0	0	4	2	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	3	0	4	1	0	2	2	4
ENSG00000222623	0	0	0	0	0	0	0	0	0
ENSG00000273874	0	0	0	0	1	0	0	0	0
ENSG00000228463	0	0	0	0	0	0	0	0	0
ENSG00000236679	4	0	0	1	5	0	4	2	0
ENSG00000284733	0	0	0	0	0	0	0	0	0
ENSG00000225972	32	50	52	62	72	0	3980	6098	3459
ENSG00000225630	118	164	275	222	249	0	334	397	244
ENSG00000237973	1561	3032	2767	2890	3777	0	2484	3362	1962
ENSG00000229344	120	264	234	333	352	0	130	181	74
ENSG00000240409	1	2	0	2	1	0	0	4	0
ENSG00000248527	4611	10663	9411	9519	12630	0	12639	18300	8617
ENSG00000198744	76	280	218	216	280	0	178	226	76
ENSG00000284662	0	0	0	0	0	0	0	0	0
ENSG00000223181	0	0	0	0	0	0	0	0	0
ENSG00000177757	23	7	9	4	20	0	10	14	6
ENSG00000228794	535	848	845	1003	940	0	678	1106	741
ENSG00000225880	114	26	29	65	77	0	24	51	30
ENSG00000230368	2	0	0	2	0	0	4	0	0
ENSG00000234711	1	0	0	0	0	0	0	0	0
ENSG00000187634	27	2	13	17	11	0	9	18	4
ENSG00000188976	4538	9415	10891	12520	11003	0	5899	13963	10914
ENSG00000187961	855	791	1058	1688	1575	0	592	1111	784
ENSG00000187583	296	463	325	688	1064	0	733	754	474
ENSG00000187642	109	70	88	235	322	0	350	340	170
ENSG00000188290	424	191	311	692	615	0	96	338	287
ENSG00000187608	7767	4439	5202	12689	11114	0	5409	12869	12640
ENSG00000188157	7857	2052	2550	6214	5004	0	2616	2729	2313
ENSG00000237330	156	78	82	140	264	0	346	213	190
ENSG00000131591	1274	1492	1624	2492	2648	0	2694	2409	1868
ENSG00000223823	0	2	2	0	0	0	0	0	1
ENSG00000207730	0	0	0	3	0	0	0	0	0
ENSG00000207607	4	0	0	0	1	0	0	1	2
ENSG00000198976	1	0	0	2	2	0	1	0	0
ENSG00000205231	4	0	0	0	0	0	4	0	0
ENSG00000162571	138	45	19	63	85	0	41	15	20
ENSG00000186891	16224	15605	14951	21496	24553	0	17817	18084	12988
ENSG00000186827	32805	50589	52945	73012	63516	0	30056	41378	31129
ENSG00000078808	27216	21099	23535	35057	35771	0	21096	28110	21294
ENSG00000176022	2592	3410	3344	5138	4595	0	1852	3756	3068
ENSG00000160087	3561	3856	4245	6085	5149	0	2818	5295	3767
ENSG00000162572	326	247	230	361	393	0	618	430	258
ENSG00000131584	3737	2513	3179	5755	4746	0	2540	4079	3141
ENSG00000278073	0	0	0	0	0	0	0	0	0
ENSG00000169972	512	521	714	1107	819	0	449	1054	711
ENSG00000224051	969	846	1004	1964	1733	0	914	1263	1144
ENSG00000169962	125	42	50	85	136	0	225	117	51
ENSG00000107404	3337	5948	6223	8056	6865	0	5713	7945	6714
ENSG00000162576	175	334	383	340	436	0	517	501	435
ENSG00000175756	3462	4166	4799	6574	6534	0	3870	8600	6722
ENSG00000223663	4	1	0	4	2	0	2	4	4
ENSG00000221978	4919	6515	6832	9892	10530	0	5274	10986	8242
ENSG00000242485	1700	3520	3839	4340	3619	0	2170	5298	4299
ENSG00000264293	0	0	0	0	0	0	0	0	0
ENSG00000235098	6	0	0	8	0	0	0	10	1
ENSG00000205116	8	3	2	4	11	0	0	4	10
ENSG00000179403	405	178	119	393	298	0	46	221	104
ENSG00000215915	55	59	57	70	76	0	49	116	45
ENSG00000160072	4432	9850	10958	14564	10521	1	5434	12465	10184
ENSG00000197785	2016	5557	6664	8022	5168	0	2554	6654	5276
ENSG00000205090	15	9	5	4	6	0	34	19	10
ENSG00000160075	4265	4487	4772	6868	6013	0	3605	6219	4470
ENSG00000228594	66	172	182	224	152	0	20	76	66
ENSG00000197530	3509	1567	1703	3385	3254	0	1882	2195	1604
ENSG00000189409	14	1	4	14	22	0	9	8	0
ENSG00000248333	1942	2441	2888	3829	3659	0	1781	3954	3029
ENSG00000189339	650	834	869	1642	1309	0	842	1481	1066
ENSG00000215914	3	5	9	33	19	0	13	21	12
ENSG00000008128	85	88	121	132	155	0	79	119	95
ENSG00000008130	1335	3626	3580	4298	3266	0	2104	3786	2908
ENSG00000078369	15994	28758	31503	35340	28745	0	15561	30550	21073
ENSG00000169885	14	9	14	13	14	0	22	18	24
ENSG00000178821	44	34	22	58	80	0	42	66	58
ENSG00000142609	2	2	0	0	0	0	2	0	0
ENSG00000187730	0	0	4	0	0	0	0	0	0
ENSG00000067606	241	141	149	465	369	0	167	262	157
ENSG00000162585	1607	1986	2241	3231	2362	0	1419	2400	1956
ENSG00000157933	5154	3637	4436	7107	6062	0	3245	5568	3882
ENSG00000116151	120	120	191	226	199	0	86	277	206
ENSG00000157916	4355	4563	5561	7602	6597	0	3446	7168	5072
ENSG00000157911	354	634	690	953	662	0	339	705	538
ENSG00000149527	175	93	74	258	287	0	321	135	95
ENSG00000157881	851	696	866	1366	1079	0	508	789	654
ENSG00000197921	0	0	4	0	0	0	0	0	0
