"dif"	"ontology"	"Description"	"Count"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"ID"	"geneID"
"upregulated"	"CC"	"chromosomal region"	87	"87/1752"	"334/14739"	5.38222347821102e-13	3.69758752953097e-10	3.18401009974168e-10	"GO:0098687"	"TERT/SYCP3/XRCC3/SEH1L/FEN1/MCM4/RECQL4/SUV39H2/PINX1/CDK2/CENPV/POLD1/NUDCD2/HELLS/CHEK1/MCM2/DMC1/CENPP/MCM6/ZWINT/NHP2/DNA2/PHF6/MAD2L1/DCLRE1B/PCNA/ERCC6L/SCMH1/ESCO2/MCM3/MCM5/CENPX/SLX4/AURKA/DOT1L/AURKB/CENPU/HNRNPA2B1/BRCA2/SPAG5/MTBP/CENPO/PMF1/CENPW/SUMO3/CBX1/DSN1/SUV39H1/CENPT/THOC6/KNTC1/MIS18A/ORC1/CENPI/DNMT1/CHAMP1/RAD51/BUB1B/KNSTRN/APEX1/SGO1/PTGES3/CDCA5/SEPT6/SKA2/ORC2/XRCC6/CDK1/CBX3/SKA3/SMC1A/DSCC1/DYNC1LI2/CBX5/ZWILCH/NAT10/SPOUT1/REC8/NCAPD3/NUP85/MCM7/NBN/H2AFX/BUB1/PLK1/NUP160/RAD21"
"upregulated"	"CC"	"preribosome"	32	"32/1752"	"72/14739"	4.57052492791699e-12	1.40306789022453e-09	1.20818839240969e-09	"GO:0030684"	"BYSL/WDR12/BOP1/UTP4/ZNF593/PPAN/RRS1/WDR74/NOP56/WDR36/TSR1/RRP1/RRP9/UTP20/NOL6/WDR46/IMP4/NOC4L/UTP6/EMG1/LTV1/MAK16/KRR1/EBNA1BP2/UTP11/RRP15/RIOK1/RRP1B/RRP7BP/NOP58/RRP7A/NOP14"
"upregulated"	"CC"	"mitochondrial matrix"	104	"104/1752"	"447/14739"	6.12693401844772e-12	1.40306789022453e-09	1.20818839240969e-09	"GO:0005759"	"ARG2/MRPS6/GLDC/TERT/PC/GPT2/MTHFD1L/HSPE1/TST/SDHAF3/PYCR1/FDX2/TRAP1/ARL2/PDSS1/ATAD3A/GRPEL1/C1QBP/AK4/LONP1/VDAC1/IDH3A/NME4/PAM16/MRPL12/MRPL4/MRM1/MRPL17/MRPL16/TYMS/DTYMK/FDX1/MTHFD2/PUS1/GCSH/MRPS34/MRPL36/TWNK/DNA2/HSPD1/DNAJA3/DLAT/UQCC2/TRMT5/MRPL24/MRPL18/MRPS12/MRPL14/BCKDK/PRDX3/MRPS17/ACAT1/BDH1/TBRG4/ACSS2/DIMT1/GOT2/NARS2/SHMT2/MRPS26/MRPL46/MMAB/TFAM/PDP2/TOP1MT/TRUB2/LYRM4/MRPL27/TSFM/MARS2/ABHD10/ETFA/SARS2/DGUOK/MRPL20/RAD51/MCCC2/TUFM/TRMT10C/PPIF/CHPF/ABCE1/RPUSD3/ACADM/MRPL57/CDK1/NSUN4/MRPL48/NDUFAB1/MRPS7/FH/MRPL32/MRPL13/GPX1/MRPL42/ALAS1/NAXE/MDH2/HADH/MRPL11/MRPS18B/MRPL19/MRPL28/NDUFB8"
"upregulated"	"CC"	"condensed chromosome"	61	"61/1752"	"215/14739"	3.82768306046589e-11	5.76989313764103e-09	4.96848225443079e-09	"GO:0000793"	"HSPA2/TUBG1/SYCP3/SEH1L/RRS1/PINX1/RCC1/CDK2/CENPV/NUDCD2/CHEK1/NIFK/DMC1/NOL6/ZWINT/PHF6/BANF1/MAD2L1/ERCC6L/FANCD2/CENPX/AURKA/AURKB/CENPU/BRCA2/SPAG5/CENPO/PMF1/CENPW/DSN1/SUV39H1/CENPT/KNTC1/AKAP8/RAD1/NCAPG2/CHAMP1/RAD51/BUB1B/KNSTRN/BRCA1/SGO1/CDCA5/SEPT6/SKA2/ORC2/CBX3/SKA3/SMC1A/NCAPH/ZWILCH/SPOUT1/REC8/NCAPD3/NUP85/TOPBP1/TOP2A/H2AFX/BUB1/PLK1/RAD21"
"upregulated"	"CC"	"nucleolar part"	50	"50/1752"	"174/14739"	1.36200005514016e-09	1.33670576840184e-07	1.15104365562221e-07	"GO:0044452"	"NUAK1/POLR1B/SAMD4A/WDR12/BOP1/ORC6/UTP4/POP1/RRS1/NOLC1/NOP56/DKC1/TIMM13/CD3EAP/TAF4B/DDX11/CDCA7L/WDR36/ACACA/POLR2H/RRP9/NOL6/IMP4/NHP2/UTP6/UTP15/DEAF1/POP7/CCDC137/POLR2L/NOP10/MLLT1/WDR43/DSN1/RRP1B/TXNRD1/RRP7BP/TCOF1/POP5/NOL11/POLR1C/SURF6/NOP58/APEX2/UBE2N/POLR2E/RRP7A/SMARCB1/TWISTNB/URB1"
"upregulated"	"CC"	"chaperone complex"	13	"13/1752"	"18/14739"	4.36270711114344e-09	3.74647473169443e-07	3.2261071006087e-07	"GO:0101031"	"HSP90AB1/STIP1/CCT5/BAG2/CCT3/CDC37/CCT6A/CCT7/CCT2/PTGES3/HSPA8/PPP5C/CCT8"
"upregulated"	"CC"	"organelle inner membrane"	101	"101/1752"	"495/14739"	2.48877412003125e-08	1.89976424495719e-06	1.63589597129539e-06	"GO:0019866"	"C15orf48/MRPS6/SLC25A19/TMEM201/SLC25A4/ATAD3B/TOMM40/GATM/TRAP1/SLC25A10/ATAD3A/CYCS/GRPEL1/DPY19L2P2/MRPS25/TIMM21/TIMM13/NME4/PAM16/MRPL12/MRPL4/SLC25A37/TIMM8A/MRPL17/MRPL16/TYMS/SLC25A33/NDUFAF4/MRPS34/MRPL36/HSPD1/DHODH/UQCC2/MRPL24/MRPL18/MRPS12/MRPL14/TMEM70/PISD/LGALS3/MTFP1/MRPS17/CYC1/BDH1/SIGMAR1/BCS1L/SLC25A32/PHB/GOT2/SHMT2/MRPS26/MRPL46/TRA2B/MRPL27/SLC25A44/TIMM17A/NEMP1/ALDH18A1/HIGD1A/SLC25A13/MRPL20/COX20/LMNB2/TIMM23/SLC25A11/SFXN4/TMEM120B/PPIF/NUTF2/MTCH2/UQCRQ/SLC25A22/TMEM11/SLC25A40/NDUFV2/SLC25A1/MRPL57/CBX3/MRPL48/SDHB/NDUFAB1/MRPS7/AGK/AFG3L2/MRPL32/MRPS23/MRPL13/COX6A1/ABCB10/TIMM50/MRPL42/ATP5PF/FOXRED1/ATP5MF/MRPL11/MRPS18B/MRPL19/MRPL28/NDUFB8/ATP5MC3/SLC25A39"
"upregulated"	"CC"	"methylosome"	10	"10/1752"	"12/14739"	2.89470262230736e-08	1.92776297526514e-06	1.66000581031029e-06	"GO:0034709"	"PRMT1/PRMT5/WDR77/SNRPG/SNRPD1/SNRPD3/ERH/SNRPB/SNRPF/SNRPE"
"upregulated"	"CC"	"MCM complex"	9	"9/1752"	"11/14739"	2.04329619313226e-07	9.35829656454577e-06	8.05847340730058e-06	"GO:0042555"	"TONSL/MCM4/MCM2/MCM6/MCM3/MCM5/MCM8/MCMBP/MCM7"
"upregulated"	"CC"	"myelin sheath"	40	"40/1752"	"152/14739"	7.68312731238464e-07	2.7780570861096e-05	2.39219808839898e-05	"GO:0043209"	"UCHL1/ATP1B1/HSPA2/NME1/PKM/PRDX1/SLC25A4/CKB/GLUL/STIP1/IDH3A/CCT5/STXBP1/NEFH/JAM3/GPI/HSPD1/DLAT/GNB4/PRDX3/MIF/CCT3/PHB/GOT2/ENO2/CCT2/YWHAG/PEBP1/ATP1A1/NAPG/TUFM/HSP90AA1/NDUFV2/HSPA8/NME2/BCL2/ATP6V1A/MDH2/TUBA1B/GNB1"
